	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000102275.1	57.1466570231787	0.110078559423433	0.349284994113666	0.315153989660407	0.752644737675478	0.881683659637226
ENSMUSG00000025903.14	1135.95411217146	-0.277403353319496	0.166434194830116	-1.66674494747098	0.0955651312607049	0.247422876026771
ENSMUSG00000104217.1	0	NA	NA	NA	NA	NA
ENSMUSG00000033813.15	3260.77613418891	0.188750459425902	0.162723735801954	1.15994423613544	0.246071510691654	0.46798899529338
ENSMUSG00000062588.4	18.1082722213984	-0.648843594229172	0.813175951010985	-0.797912915922433	0.424921027602811	0.650949583897957
ENSMUSG00000103280.1	174.956811673791	-0.0989795820763327	0.205262307156297	-0.482210218951522	0.629656618215734	0.806017941401088
ENSMUSG00000002459.17	1081.34879860941	-0.00943628416712428	0.109871149409262	-0.0858850045517849	0.931557832095451	0.971142188008064
ENSMUSG00000091305.1	14.5689723214552	1.29945874417741	0.90141305318105	1.44157968379942	0.149420983157364	0.336463012977229
ENSMUSG00000102653.1	77.6302600259097	0.580352683498406	0.30887291244395	1.87893680577678	0.0602531224963735	0.178097003436772
ENSMUSG00000085623.1	195.268599161157	0.524877024437043	0.284464125672224	1.84514312023245	0.0650167220445354	0.188188645279938
ENSMUSG00000091665.1	4.95150128147235	1.99768974136019	1.46185762000797	1.36654193542412	0.171768927874509	NA
ENSMUSG00000033793.12	11921.4585566791	-0.0278847240140619	0.077378352903548	-0.36036853936165	0.718571550300414	0.861486848076269
ENSMUSG00000104352.1	0.123508869881897	0	4.40735632395799	0	1	NA
ENSMUSG00000104046.1	1.41587627051059	2.82414337754439	3.09597201442721	0.912199259032025	0.361663833932214	NA
ENSMUSG00000102907.1	0.456316887615295	-2.39669884041297	4.32349014501308	-0.554343541913107	0.579343756634872	NA
ENSMUSG00000025905.14	154.865999266172	-0.296278497903996	0.22599830694981	-1.31097662589921	0.189865660682665	0.394592079313193
ENSMUSG00000103936.1	0	NA	NA	NA	NA	NA
ENSMUSG00000093015.1	0.577938332769087	2.38160768738413	4.3425582786712	0.548434248788685	0.583393765197461	NA
ENSMUSG00000103519.1	0.252586815109131	-2.62159029383754	4.31257177881734	-0.607894877649196	0.543257197123397	NA
ENSMUSG00000033774.4	39.1920055337422	-0.0391826056986294	0.491093526689834	-0.0797864430483045	0.936407106827597	0.973086606215653
ENSMUSG00000103090.1	0.370526609645691	0	4.40735632393721	0	1	NA
ENSMUSG00000025907.14	13587.1271524364	-0.0725226231636826	0.130706150271699	-0.554852415230115	0.578995611906131	0.77128589769514
ENSMUSG00000090031.2	496.750381873076	0.421999795719836	0.197991930388332	2.13139896606971	0.0330562879884593	0.114843267094599
ENSMUSG00000087247.3	0.131706590907984	1.88840089545846	4.37653511308453	0.431483090313317	0.666117145281797	NA
ENSMUSG00000103355.1	0.629854655031246	2.65400397646947	3.92678614898557	0.675871788219253	0.499122050929582	NA
ENSMUSG00000102706.1	0	NA	NA	NA	NA	NA
ENSMUSG00000103845.1	215.031750638574	-0.174046619933757	0.222048040597059	-0.783824164652692	0.433143292635181	0.658762109390438
ENSMUSG00000033740.17	7354.30823153843	0.541179964043791	0.103993076422658	5.20399994557598	1.95044062637372e-07	3.56627232751177e-06
ENSMUSG00000103329.2	301.921824486367	-0.027947527080807	0.154305903781696	-0.181117678558468	0.856275208593961	0.934163193205199
ENSMUSG00000104385.1	0.405559448389068	0	4.407356323936	0	1	NA
ENSMUSG00000102135.1	24.5440304320829	0.208171495001024	0.725171299241281	0.287065270259353	0.774062343815348	0.893391073770891
ENSMUSG00000103282.1	0	NA	NA	NA	NA	NA
ENSMUSG00000102534.1	0	NA	NA	NA	NA	NA
ENSMUSG00000102213.1	0.412032072165254	0	4.40735632394231	0	1	NA
ENSMUSG00000103629.1	0	NA	NA	NA	NA	NA
ENSMUSG00000051285.17	8970.67523074526	0.148168607890751	0.113052219186597	1.31062095867568	0.189985854723349	0.394715161854317
ENSMUSG00000098201.1	43.5536269830615	0.412825587189435	0.442863703727933	0.932172999761229	0.351247126722938	0.581306341000939
ENSMUSG00000103509.1	748.91113901957	0.327944300807129	0.132859113342066	2.46836135329901	0.0135733222184652	0.0578859512164122
ENSMUSG00000048538.7	21.1143153285255	-0.413025930097752	0.565422366269948	-0.730473279333562	0.465100940307667	0.686557321555272
ENSMUSG00000103709.1	0.123508869881897	0	4.40735632395799	0	1	NA
ENSMUSG00000077244.1	0	NA	NA	NA	NA	NA
ENSMUSG00000102768.1	0.123508869881897	0	4.40735632395799	0	1	NA
ENSMUSG00000097797.6	101.06769989262	-0.21560855017834	0.345579304324747	-0.623904694176155	0.53269017730791	0.738703614419575
ENSMUSG00000103498.1	0	NA	NA	NA	NA	NA
ENSMUSG00000103067.1	0	NA	NA	NA	NA	NA
ENSMUSG00000102320.1	0	NA	NA	NA	NA	NA
ENSMUSG00000104226.1	0.37915454694931	-2.13836564464879	4.33826438450473	-0.492908097599246	0.622077525404774	NA
ENSMUSG00000103903.1	0	NA	NA	NA	NA	NA
ENSMUSG00000103557.1	0.197559886361975	2.43397229288527	4.33920339410541	0.560926066796431	0.5748479391874	NA
